            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460993.538194444, A.D. 2025-Nov-14 00:55:00.0000,  8.208452141429825E-01,  1.447599567111657E+04,  6.728077205464629E+01,  1.340736477024019E+02,  2.895773980873266E+02,  2.460993026276249E+06,  1.574930781750909E-03,  6.965876662234128E+01,  1.565261756234092E+02,  8.080161298437088E+04,  1.471272302976252E+05,  2.285814742916985E+05,
2460993.541666667, A.D. 2025-Nov-14 01:00:00.0000,  8.208450635206566E-01,  1.447597993664858E+04,  6.728076483040063E+01,  1.340735303800021E+02,  2.895773683883237E+02,  2.460993026275750E+06,  1.574935335686820E-03,  7.013151638513062E+01,  1.566805202460162E+02,  8.080145722536453E+04,  1.471269345140805E+05,  2.285808133468579E+05,
2460993.545138889, A.D. 2025-Nov-14 01:05:00.0000,  8.208449089240759E-01,  1.447596468250918E+04,  6.728075788349460E+01,  1.340734128149544E+02,  2.895773391682112E+02,  2.460993026275243E+06,  1.574939863655726E-03,  7.060426902038735E+01,  1.568337757350764E+02,  8.080130235525612E+04,  1.471266400280031E+05,  2.285801561745816E+05,
2460993.548611111, A.D. 2025-Nov-14 01:10:00.0000,  8.208447503291667E-01,  1.447594991167559E+04,  6.728075121332616E+01,  1.340732950133927E+02,  2.895773104236591E+02,  2.460993026274726E+06,  1.574944365488602E-03,  7.107702450651254E+01,  1.569859602308727E+02,  8.080114837981392E+04,  1.471263468479523E+05,  2.285795027993358E+05,
2460993.552083333, A.D. 2025-Nov-14 01:15:00.0000,  8.208445877126166E-01,  1.447593562701963E+04,  6.728074481927311E+01,  1.340731769814111E+02,  2.895772821512290E+02,  2.460993026274200E+06,  1.574948841023581E-03,  7.154978282146041E+01,  1.571370914660122E+02,  8.080099530456144E+04,  1.471260549821032E+05,  2.285788532445479E+05,
2460993.555555556, A.D. 2025-Nov-14 01:20:00.0000,  8.208444210519411E-01,  1.447592183130532E+04,  6.728073870069352E+01,  1.340730587250636E+02,  2.895772543473822E+02,  2.460993026273663E+06,  1.574953290105465E-03,  7.202254394367932E+01,  1.572871867777195E+02,  8.080084313479408E+04,  1.471257644382828E+05,  2.285782075326774E+05,
2460993.559027778, A.D. 2025-Nov-14 01:25:00.0000,  8.208442503253831E-01,  1.447590852719454E+04,  6.728073285692619E+01,  1.340729402503668E+02,  2.895772270084737E+02,  2.460993026273116E+06,  1.574957712586140E-03,  7.249530785119613E+01,  1.574362631190914E+02,  8.080069187556485E+04,  1.471254752239352E+05,  2.285775656851551E+05,
2460993.562500000, A.D. 2025-Nov-14 01:30:00.0000,  8.208440755119534E-01,  1.447589571724669E+04,  6.728072728729079E+01,  1.340728215632955E+02,  2.895772001307635E+02,  2.460993026272560E+06,  1.574962108324094E-03,  7.296807452255420E+01,  1.575843370705433E+02,  8.080054153170098E+04,  1.471251873461553E+05,  2.285769277224539E+05,
2460993.565972222, A.D. 2025-Nov-14 01:35:00.0000,  8.208438965906529E-01,  1.447588340396549E+04,  6.728072199108826E+01,  1.340727026697832E+02,  2.895771737104057E+02,  2.460993026271993E+06,  1.574966477187029E-03,  7.344084393613471E+01,  1.577314248502824E+02,  8.080039210771456E+04,  1.471249008114636E+05,  2.285762936637093E+05,
2460993.569444444, A.D. 2025-Nov-14 01:40:00.0000,  8.208437135412699E-01,  1.447587158976601E+04,  6.728071696760121E+01,  1.340725835757244E+02,  2.895771477435020E+02,  2.460993026271417E+06,  1.574970819046745E-03,  7.391361607045441E+01,  1.578775423248428E+02,  8.080024360797751E+04,  1.471246156261890E+05,  2.285756635274619E+05,
2460993.572916667, A.D. 2025-Nov-14 01:45:00.0000,  8.208435263445736E-01,  1.447586027695296E+04,  6.728071221609417E+01,  1.340724642869716E+02,  2.895771222260739E+02,  2.460993026270831E+06,  1.574975133780100E-03,  7.438639090427529E+01,  1.580227050191483E+02,  8.080009603668877E+04,  1.471243317964246E+05,  2.285750373315187E+05,
2460993.576388889, A.D. 2025-Nov-14 01:50:00.0000,  8.208433349819775E-01,  1.447584946773781E+04,  6.728070773581416E+01,  1.340723448093393E+02,  2.895770971540472E+02,  2.460993026270234E+06,  1.574979421270695E-03,  7.485916841583874E+01,  1.581669281259160E+02,  8.079994939781661E+04,  1.471240493278954E+05,  2.285744150927075E+05,
2460993.579861111, A.D. 2025-Nov-14 01:55:00.0000,  8.208431394356372E-01,  1.447583916423768E+04,  6.728070352599075E+01,  1.340722251485982E+02,  2.895770725232717E+02,  2.460993026269627E+06,  1.574983681407735E-03,  7.533194858403199E+01,  1.583102265153567E+02,  8.079980369513770E+04,  1.471237682260377E+05,  2.285737968270431E+05,
2460993.583333333, A.D. 2025-Nov-14 02:00:00.0000,  8.208429396884716E-01,  1.447582936847456E+04,  6.728069958583644E+01,  1.340721053104799E+02,  2.895770483295191E+02,  2.460993026269010E+06,  1.574987914085887E-03,  7.580473138727632E+01,  1.584526147438527E+02,  8.079965893224189E+04,  1.471234884960092E+05,  2.285731825497478E+05,
2460993.586805556, A.D. 2025-Nov-14 02:05:00.0000,  8.208427357241473E-01,  1.447582008237688E+04,  6.728069591454729E+01,  1.340719853006754E+02,  2.895770245684872E+02,  2.460993026268383E+06,  1.574992119205251E-03,  7.627751680452948E+01,  1.585941070629690E+02,  8.079951511253323E+04,  1.471232101426896E+05,  2.285725722752555E+05,
2460993.590277778, A.D. 2025-Nov-14 02:10:00.0000,  8.208425275270133E-01,  1.447581130778891E+04,  6.728069251130290E+01,  1.340718651248355E+02,  2.895770012358138E+02,  2.460993026267745E+06,  1.574996296670631E-03,  7.675030481428931E+01,  1.587347174275637E+02,  8.079937223925492E+04,  1.471229331707209E+05,  2.285719660173172E+05,
2460993.593750000, A.D. 2025-Nov-14 02:15:00.0000,  8.208423150821038E-01,  1.447580304646793E+04,  6.728068937526687E+01,  1.340717447885679E+02,  2.895769783270717E+02,  2.460993026267096E+06,  1.575000446392030E-03,  7.722309539559620E+01,  1.588744595042211E+02,  8.079923031547241E+04,  1.471226575844769E+05,  2.285713637889301E+05,
2460993.597222222, A.D. 2025-Nov-14 02:20:00.0000,  8.208420983745471E-01,  1.447579530014234E+04,  6.728068650558716E+01,  1.340716242974422E+02,  2.895769558378250E+02,  2.460993026266437E+06,  1.575004568282908E-03,  7.769588852702857E+01,  1.590133466787691E+02,  8.079908934413288E+04,  1.471223833881234E+05,  2.285707656025894E+05,
2460993.600694444, A.D. 2025-Nov-14 02:25:00.0000,  8.208418773896242E-01,  1.447578807050195E+04,  6.728068390139636E+01,  1.340715036569860E+02,  2.895769337636133E+02,  2.460993026265768E+06,  1.575008662261016E-03,  7.816868418772108E+01,  1.591513920641883E+02,  8.079894932803682E+04,  1.471221105855717E+05,  2.285701714701678E+05,
2460993.604166667, A.D. 2025-Nov-14 02:30:00.0000,  8.208416521141727E-01,  1.447578135906598E+04,  6.728068156181205E+01,  1.340713828726866E+02,  2.895769120998232E+02,  2.460993026265088E+06,  1.575012728251433E-03,  7.864148235646736E+01,  1.592886085078070E+02,  8.079881026973414E+04,  1.471218391804023E+05,  2.285695814024749E+05,
2460993.607638889, A.D. 2025-Nov-14 02:35:00.0000,  8.208414225356266E-01,  1.447577516727932E+04,  6.728067948593704E+01,  1.340712619499901E+02,  2.895768908417967E+02,  2.460993026264397E+06,  1.575016766183495E-03,  7.911428301259065E+01,  1.594250085985913E+02,  8.079867217162919E+04,  1.471215691759791E+05,  2.285689954097026E+05,
2460993.611111111, A.D. 2025-Nov-14 02:40:00.0000,  8.208411886419574E-01,  1.447576949651937E+04,  6.728067767285984E+01,  1.340711408943044E+02,  2.895768699848352E+02,  2.460993026263696E+06,  1.575020775990485E-03,  7.958708613497481E+01,  1.595606046737385E+02,  8.079853503599144E+04,  1.471213005754635E+05,  2.285684135014705E+05,
2460993.614583333, A.D. 2025-Nov-14 02:45:00.0000,  8.208409504218906E-01,  1.447576434807443E+04,  6.728067612165469E+01,  1.340710197109928E+02,  2.895768495241824E+02,  2.460993026262983E+06,  1.575024757610277E-03,  8.005989170305133E+01,  1.596954088256361E+02,  8.079839886493328E+04,  1.471210333817921E+05,  2.285678356867316E+05,
2460993.618055556, A.D. 2025-Nov-14 02:50:00.0000,  8.208407078648634E-01,  1.447575972314989E+04,  6.728067483138220E+01,  1.340708984053837E+02,  2.895768294550284E+02,  2.460993026262260E+06,  1.575028710984902E-03,  8.053269969585783E+01,  1.598294329080309E+02,  8.079826366042506E+04,  1.471207675977002E+05,  2.285672619738365E+05,
2460993.621527778, A.D. 2025-Nov-14 02:55:00.0000,  8.208404609609871E-01,  1.447575562287170E+04,  6.728067380108935E+01,  1.340707769827605E+02,  2.895768097725187E+02,  2.460993026261526E+06,  1.575032636060468E-03,  8.100551009271038E+01,  1.599626885424562E+02,  8.079812942429775E+04,  1.471205032257238E+05,  2.285666923705441E+05,
2460993.625000000, A.D. 2025-Nov-14 03:00:00.0000,  8.208402097009921E-01,  1.447575204829270E+04,  6.728067302981003E+01,  1.340706554483692E+02,  2.895767904717584E+02,  2.460993026260781E+06,  1.575036532786855E-03,  8.147832287326088E+01,  1.600951871242814E+02,  8.079799615825334E+04,  1.471202402682140E+05,  2.285661268840662E+05,
2460993.628472222, A.D. 2025-Nov-14 03:05:00.0000,  8.208399540762366E-01,  1.447574900039250E+04,  6.728067251656509E+01,  1.340705338074161E+02,  2.895767715478144E+02,  2.460993026260024E+06,  1.575040401117635E-03,  8.195113801658322E+01,  1.602269398283047E+02,  8.079786386386763E+04,  1.471199787273428E+05,  2.285655655210793E+05,
2460993.631944444, A.D. 2025-Nov-14 03:10:00.0000,  8.208396940780616E-01,  1.447574648013869E+04,  6.728067226036281E+01,  1.340704120650663E+02,  2.895767529957738E+02,  2.460993026259257E+06,  1.575044241008561E-03,  8.242395550238007E+01,  1.603579576147111E+02,  8.079773254264194E+04,  1.471197186051452E+05,  2.285650082879438E+05,
2460993.635416667, A.D. 2025-Nov-14 03:15:00.0000,  8.208394296981398E-01,  1.447574448845098E+04,  6.728067226019913E+01,  1.340702902264458E+02,  2.895767348107005E+02,  2.460993026258478E+06,  1.575048052418832E-03,  8.289677530992758E+01,  1.604882512342924E+02,  8.079760219595977E+04,  1.471194599034686E+05,  2.285644551905200E+05,
2460993.638888889, A.D. 2025-Nov-14 03:20:00.0000,  8.208391609294793E-01,  1.447574302610838E+04,  6.728067251505787E+01,  1.340701682966414E+02,  2.895767169875572E+02,  2.460993026257689E+06,  1.575051835313013E-03,  8.336959741910425E+01,  1.606178312341231E+02,  8.079747282502113E+04,  1.471192026239339E+05,  2.285639062338902E+05,
2460993.642361111, A.D. 2025-Nov-14 03:25:00.0000,  8.208388877655654E-01,  1.447574209383382E+04,  6.728067302391115E+01,  1.340700462807000E+02,  2.895766995212893E+02,  2.460993026256888E+06,  1.575055589658530E-03,  8.384242180934599E+01,  1.607467079623635E+02,  8.079734443092828E+04,  1.471189467680228E+05,  2.285633614227213E+05,
2460993.645833333, A.D. 2025-Nov-14 03:30:00.0000,  8.208386102003771E-01,  1.447574169229143E+04,  6.728067378571937E+01,  1.340699241836309E+02,  2.895766824068207E+02,  2.460993026256076E+06,  1.575059315425899E-03,  8.431524846062949E+01,  1.608748915735281E+02,  8.079721701467795E+04,  1.471186923370645E+05,  2.285628207612330E+05,
2460993.649305556, A.D. 2025-Nov-14 03:35:00.0000,  8.208383282285625E-01,  1.447574182207205E+04,  6.728067479943186E+01,  1.340698020104019E+02,  2.895766656390448E+02,  2.460993026255252E+06,  1.575063012588788E-03,  8.478807735250111E+01,  1.610023920330763E+02,  8.079709057715905E+04,  1.471184393322461E+05,  2.285622842531873E+05,
2460993.652777778, A.D. 2025-Nov-14 03:40:00.0000,  8.208380418454123E-01,  1.447574248369294E+04,  6.728067606398685E+01,  1.340696797659453E+02,  2.895766492128170E+02,  2.460993026254417E+06,  1.575066681124410E-03,  8.526090846507797E+01,  1.611292191223800E+02,  8.079696511913936E+04,  1.471181877545858E+05,  2.285617519018324E+05,
2460993.656250000, A.D. 2025-Nov-14 03:45:00.0000,  8.208377510468231E-01,  1.447574367760509E+04,  6.728067757831178E+01,  1.340695574551515E+02,  2.895766331229714E+02,  2.460993026253571E+06,  1.575070321012785E-03,  8.573374177804048E+01,  1.612553824430047E+02,  8.079684064129081E+04,  1.471179376049765E+05,  2.285612237100097E+05,
2460993.659722222, A.D. 2025-Nov-14 03:50:00.0000,  8.208374558293280E-01,  1.447574540418890E+04,  6.728067934132366E+01,  1.340694350828745E+02,  2.895766173643131E+02,  2.460993026252713E+06,  1.575073932237100E-03,  8.620657727162512E+01,  1.613808914213965E+02,  8.079671714417702E+04,  1.471176888841651E+05,  2.285606996801014E+05,
2460993.663194444, A.D. 2025-Nov-14 03:55:00.0000,  8.208371561899843E-01,  1.447574766376401E+04,  6.728068135192920E+01,  1.340693126539302E+02,  2.895766019316228E+02,  2.460993026251844E+06,  1.575077514783529E-03,  8.667941492566749E+01,  1.615057553129079E+02,  8.079659462825955E+04,  1.471174415927551E+05,  2.285601798140562E+05,
2460993.666666667, A.D. 2025-Nov-14 04:00:00.0000,  8.208368521264472E-01,  1.447575045658444E+04,  6.728068360902515E+01,  1.340691901730945E+02,  2.895765868196614E+02,  2.460993026250962E+06,  1.575081068641091E-03,  8.715225472054578E+01,  1.616299832062119E+02,  8.079647309390276E+04,  1.471171957312211E+05,  2.285596641134109E+05,
2460993.670138889, A.D. 2025-Nov-14 04:05:00.0000,  8.208365436361609E-01,  1.447575378289920E+04,  6.728068611149841E+01,  1.340690676451080E+02,  2.895765720231783E+02,  2.460993026250070E+06,  1.575084593802398E-03,  8.762509663642099E+01,  1.617535840270864E+02,  8.079635254134830E+04,  1.471169512997974E+05,  2.285591525791812E+05,
2460993.673611111, A.D. 2025-Nov-14 04:10:00.0000,  8.208362307176332E-01,  1.447575764286462E+04,  6.728068885822643E+01,  1.340689450746726E+02,  2.895765575369190E+02,  2.460993026249165E+06,  1.575088090261189E-03,  8.809794065355926E+01,  1.618765665425046E+02,  8.079623297079923E+04,  1.471167082987338E+05,  2.285586452122198E+05,
2460993.677083333, A.D. 2025-Nov-14 04:15:00.0000,  8.208359133699433E-01,  1.447576203657438E+04,  6.728069184807724E+01,  1.340688224664531E+02,  2.895765433556100E+02,  2.460993026248249E+06,  1.575091558013884E-03,  8.857078675258218E+01,  1.619989393644720E+02,  8.079611438236713E+04,  1.471164667281599E+05,  2.285581420129906E+05,
2460993.680555556, A.D. 2025-Nov-14 04:20:00.0000,  8.208355915925706E-01,  1.447576696407322E+04,  6.728069507990990E+01,  1.340686998250768E+02,  2.895765294739630E+02,  2.460993026247321E+06,  1.575094997059628E-03,  8.904363491358301E+01,  1.621207109534813E+02,  8.079599677607039E+04,  1.471162265880675E+05,  2.285576429815626E+05,
2460993.684027778, A.D. 2025-Nov-14 04:25:00.0000,  8.208352653855894E-01,  1.447577242534368E+04,  6.728069855257456E+01,  1.340685771551348E+02,  2.895765158866774E+02,  2.460993026246382E+06,  1.575098407399873E-03,  8.951648511731061E+01,  1.622418896224204E+02,  8.079588015184866E+04,  1.471159878783536E+05,  2.285571481176706E+05,
2460993.687500000, A.D. 2025-Nov-14 04:30:00.0000,  8.208349347495995E-01,  1.447577842031164E+04,  6.728070226491270E+01,  1.340684544611802E+02,  2.895765025884413E+02,  2.460993026245430E+06,  1.575101789038404E-03,  8.998933734407206E+01,  1.623624835397710E+02,  8.079576450956188E+04,  1.471157505988121E+05,  2.285566574207113E+05,
2460993.690972222, A.D. 2025-Nov-14 04:35:00.0000,  8.208345996857591E-01,  1.447578494884429E+04,  6.728070621575742E+01,  1.340683317477313E+02,  2.895764895739334E+02,  2.460993026244466E+06,  1.575105141981220E-03,  9.046219157471683E+01,  1.624825007332502E+02,  8.079564984899433E+04,  1.471155147491444E+05,  2.285561708897604E+05,
2460993.694444444, A.D. 2025-Nov-14 04:40:00.0000,  8.208342601957487E-01,  1.447579201075235E+04,  6.728071040393358E+01,  1.340682090192687E+02,  2.895764768378199E+02,  2.460993026243491E+06,  1.575108466236668E-03,  9.093504778968997E+01,  1.626019490928563E+02,  8.079553616985015E+04,  1.471152803289480E+05,  2.285556885235535E+05,
2460993.697916667, A.D. 2025-Nov-14 04:45:00.0000,  8.208339162817903E-01,  1.447579960579052E+04,  6.728071482825803E+01,  1.340680862802382E+02,  2.895764643747630E+02,  2.460993026242503E+06,  1.575111761815091E-03,  9.140790596996720E+01,  1.627208363743058E+02,  8.079542347176526E+04,  1.471150473377400E+05,  2.285552103205371E+05,
2460993.701388889, A.D. 2025-Nov-14 04:50:00.0000,  8.208335679465494E-01,  1.447580773366397E+04,  6.728071948753976E+01,  1.340679635350492E+02,  2.895764521794162E+02,  2.460993026241504E+06,  1.575115028729079E-03,  9.188076609613093E+01,  1.628391702019019E+02,  8.079531175429892E+04,  1.471148157749339E+05,  2.285547362788323E+05,
2460993.704861111, A.D. 2025-Nov-14 04:55:00.0000,  8.208332151932387E-01,  1.447581639402109E+04,  6.728072438058022E+01,  1.340678407880766E+02,  2.895764402464266E+02,  2.460993026240492E+06,  1.575118266993285E-03,  9.235362814930878E+01,  1.629569580717983E+02,  8.079520101693981E+04,  1.471145856398585E+05,  2.285542663962608E+05,
2460993.708333333, A.D. 2025-Nov-14 05:00:00.0000,  8.208328580248763E-01,  1.447582558651314E+04,  6.728072950617343E+01,  1.340677180436578E+02,  2.895764285704553E+02,  2.460993026239469E+06,  1.575121476624463E-03,  9.282649211031482E+01,  1.630742073546758E+02,  8.079509125910500E+04,  1.471143569316968E+05,  2.285538006703406E+05,
2460993.711805556, A.D. 2025-Nov-14 05:05:00.0000,  8.208324964453483E-01,  1.447583531071002E+04,  6.728073486310609E+01,  1.340675953060977E+02,  2.895764171461500E+02,  2.460993026238432E+06,  1.575124657641212E-03,  9.329935796045747E+01,  1.631909252988669E+02,  8.079498248014845E+04,  1.471141296495869E+05,  2.285533390983218E+05,
2460993.715277778, A.D. 2025-Nov-14 05:10:00.0000,  8.208321304591913E-01,  1.447584556611845E+04,  6.728074045015798E+01,  1.340674725796658E+02,  2.895764059681536E+02,  2.460993026237384E+06,  1.575127810063863E-03,  9.377222568059854E+01,  1.633071190328866E+02,  8.079487467936505E+04,  1.471139037926116E+05,  2.285528816772043E+05,
2460993.718750000, A.D. 2025-Nov-14 05:15:00.0000,  8.208317600712899E-01,  1.447585635220507E+04,  6.728074626610197E+01,  1.340673498685954E+02,  2.895763950311100E+02,  2.460993026236324E+06,  1.575130933914720E-03,  9.424509525217469E+01,  1.634227955683688E+02,  8.079476785598233E+04,  1.471136793597596E+05,  2.285524284037019E+05,
2460993.722222222, A.D. 2025-Nov-14 05:20:00.0000,  8.208313852869998E-01,  1.447586766838751E+04,  6.728075230970417E+01,  1.340672271770879E+02,  2.895763843296611E+02,  2.460993026235251E+06,  1.575134029217864E-03,  9.471796665624589E+01,  1.635379618024678E+02,  8.079466200916706E+04,  1.471134563499466E+05,  2.285519792742709E+05,
2460993.725694444, A.D. 2025-Nov-14 05:25:00.0000,  8.208310061121626E-01,  1.447587951403373E+04,  6.728075857972435E+01,  1.340671045093085E+02,  2.895763738584502E+02,  2.460993026234166E+06,  1.575137095999103E-03,  9.519083987415721E+01,  1.636526245205809E+02,  8.079455713802720E+04,  1.471132347620207E+05,  2.285515342851179E+05,
2460993.729166667, A.D. 2025-Nov-14 05:30:00.0000,  8.208306225531092E-01,  1.447589188846178E+04,  6.728076507491582E+01,  1.340669818693902E+02,  2.895763636121210E+02,  2.460993026233068E+06,  1.575140134285923E-03,  9.566371488760109E+01,  1.637667903988507E+02,  8.079445324161330E+04,  1.471130145947648E+05,  2.285510934322063E+05,
2460993.732638889, A.D. 2025-Nov-14 05:35:00.0000,  8.208302346166193E-01,  1.447590479094390E+04,  6.728077179402568E+01,  1.340668592614328E+02,  2.895763535853205E+02,  2.460993026231959E+06,  1.575143144107394E-03,  9.613659167770608E+01,  1.638804660063655E+02,  8.079435031892192E+04,  1.471127958468999E+05,  2.285506567112703E+05,
2460993.736111111, A.D. 2025-Nov-14 05:40:00.0000,  8.208298423099382E-01,  1.447591822070502E+04,  6.728077873579517E+01,  1.340667366895016E+02,  2.895763437727001E+02,  2.460993026230836E+06,  1.575146125494172E-03,  9.660947022627218E+01,  1.639936578078169E+02,  8.079424836889544E+04,  1.471125785170859E+05,  2.285502241178143E+05,
2460993.739583333, A.D. 2025-Nov-14 05:45:00.0000,  8.208294456407170E-01,  1.447593217692801E+04,  6.728078589895968E+01,  1.340666141576277E+02,  2.895763341689166E+02,  2.460993026229701E+06,  1.575149078478426E-03,  9.708235051466448E+01,  1.641063721655254E+02,  8.079414739042468E+04,  1.471123626039214E+05,  2.285497956471241E+05,
